a,b,c
3.449907,-3.476048,0.026141
3.518420,-3.405149,-0.113271
3.582651,-3.330104,-0.252547
3.642522,-3.251008,-0.391514
3.697960,-3.167954,-0.530006
3.748897,-3.081046,-0.667851
3.795271,-2.990386,-0.804885
3.837027,-2.896089,-0.940938
3.874112,-2.798265,-1.075847
3.906483,-2.697037,-1.209446
3.934099,-2.592527,-1.341572
3.956927,-2.484860,-1.472067
3.974940,-2.374170,-1.600769
3.988114,-2.260590,-1.727525
3.996435,-2.144259,-1.852176
3.999892,-2.025317,-1.974575
3.998482,-1.903913,-2.094569
3.992204,-1.780190,-2.212014
3.981068,-1.654300,-2.326768
3.965087,-1.526398,-2.438689
3.944280,-1.396637,-2.547644
3.918673,-1.265177,-2.653496
3.888297,-1.132176,-2.756120
3.853188,-0.997799,-2.855389
3.813390,-0.862206,-2.951184
3.768950,-0.725565,-3.043386
3.719924,-0.588041,-3.131883
3.666370,-0.449800,-3.216571
3.608355,-0.311013,-3.297342
3.545947,-0.171845,-3.374102
3.479225,-0.032471,-3.446754
3.408267,0.106945,-3.515212
3.333162,0.246229,-3.579391
3.253999,0.385215,-3.639215
3.170878,0.523731,-3.694609
3.083897,0.661609,-3.745506
2.993162,0.798684,-3.791845
2.898785,0.934785,-3.833570
2.800879,1.069750,-3.870628
2.699565,1.203411,-3.902976
2.594965,1.335609,-3.930574
2.487207,1.466180,-3.953388
2.376423,1.594967,-3.971390
2.262745,1.721815,-3.984560
2.146315,1.846564,-3.992879
2.027271,1.969069,-3.996340
1.905761,2.089175,-3.994936
1.781930,2.206740,-3.988671
1.655932,2.321619,-3.977551
1.527917,2.433672,-3.961590
1.398045,2.542763,-3.940808
1.266470,2.648759,-3.915230
1.133353,2.751533,-3.884886
0.998858,2.850956,-3.849814
0.863146,2.946912,-3.810057
0.726385,3.039279,-3.765664
0.588738,3.127948,-3.716686
0.450376,3.212810,-3.663186
-0.100949,3.509372,-3.408423
-0.240367,3.573931,-3.333564
-0.379492,3.634139,-3.254647
-0.518156,3.689925,-3.171769
-0.656189,3.741220,-3.085032
